"materials_version","gender","number","determiner_phrase","image"
"1.2.2","feminine","singular","je calle","street.png"
"1.2.2","feminine","singular","je calle","street.png"
"1.2.2","feminine","plural","jer calle","street_2.png"
"1.2.2","feminine","plural","jer calle","street_3.png"
"1.2.2","masculine","singular","ze camion","truck.png"
"1.2.2","masculine","singular","ze camion","truck.png"
"1.2.2","masculine","plural","zer camion","truck_2.png"
"1.2.2","masculine","plural","zer camion","truck_3.png"
"1.2.2","masculine","singular","ze cuchil","knife.png"
"1.2.2","masculine","singular","ze cuchil","knife.png"
"1.2.2","masculine","plural","zer cuchil","knife_2.png"
"1.2.2","masculine","plural","zer cuchil","knife_3.png"
"1.2.2","masculine","singular","ze gor","hat.png"
"1.2.2","masculine","singular","ze gor","hat.png"
"1.2.2","masculine","plural","zer gor","hat_2.png"
"1.2.2","masculine","plural","zer gor","hat_3.png"
"1.2.2","masculine","singular","ze lapiz","pencil.png"
"1.2.2","masculine","singular","ze lapiz","pencil.png"
"1.2.2","masculine","plural","zer lapiz","pencil_2.png"
"1.2.2","masculine","plural","zer lapiz","pencil_3.png"
"1.2.2","feminine","singular","je llave","key.png"
"1.2.2","feminine","singular","je llave","key.png"
"1.2.2","feminine","plural","jer llave","key_2.png"
"1.2.2","feminine","plural","jer llave","key_3.png"
"1.2.2","feminine","singular","je mochil","bag.png"
"1.2.2","feminine","singular","je mochil","bag.png"
"1.2.2","feminine","plural","jer mochil","bag_2.png"
"1.2.2","feminine","plural","jer mochil","bag_3.png"
"1.2.2","feminine","singular","je pared","wall.png"
"1.2.2","feminine","singular","je pared","wall.png"
"1.2.2","feminine","plural","jer pared","wall_2.png"
"1.2.2","feminine","plural","jer pared","wall_3.png"
"1.2.2","masculine","singular","ze reloj","watch.png"
"1.2.2","masculine","singular","ze reloj","watch.png"
"1.2.2","masculine","plural","zer reloj","watch_2.png"
"1.2.2","masculine","plural","zer reloj","watch_3.png"
"1.2.2","masculine","singular","ze roper","closet.png"
"1.2.2","masculine","singular","ze roper","closet.png"
"1.2.2","masculine","plural","zer roper","closet_2.png"
"1.2.2","masculine","plural","zer roper","closet_3.png"
"1.2.2","feminine","singular","je taz","cup.png"
"1.2.2","feminine","singular","je taz","cup.png"
"1.2.2","feminine","plural","jer taz","cup_2.png"
"1.2.2","feminine","plural","jer taz","cup_3.png"
"1.2.2","feminine","singular","je ventan","window.png"
"1.2.2","feminine","singular","je ventan","window.png"
"1.2.2","feminine","plural","jer ventan","window_2.png"
"1.2.2","feminine","plural","jer ventan","window_3.png"
