"materials_version","gender","number","determiner_phrase","image"
"1.2.2","common","singular","je backpack","backpack.png"
"1.2.2","common","singular","je backpack","backpack.png"
"1.2.2","common","plural","jer backpack","backpack_2.png"
"1.2.2","common","plural","jer backpack","backpack_3.png"
"1.2.2","neuter","singular","ze closet","closet.png"
"1.2.2","neuter","singular","ze closet","closet.png"
"1.2.2","neuter","plural","zer closet","closet_2.png"
"1.2.2","neuter","plural","zer closet","closet_3.png"
"1.2.2","common","singular","je key","key.png"
"1.2.2","common","singular","je key","key.png"
"1.2.2","common","plural","jer key","key_2.png"
"1.2.2","common","plural","jer key","key_3.png"
"1.2.2","neuter","singular","ze letter","letter.png"
"1.2.2","neuter","singular","ze letter","letter.png"
"1.2.2","neuter","plural","zer letter","letter_2.png"
"1.2.2","neuter","plural","zer letter","letter_3.png"
"1.2.2","neuter","singular","ze mug","mug.png"
"1.2.2","neuter","singular","ze mug","mug.png"
"1.2.2","neuter","plural","zer mug","mug_2.png"
"1.2.2","neuter","plural","zer mug","mug_3.png"
"1.2.2","common","singular","je pencil","pencil.png"
"1.2.2","common","singular","je pencil","pencil.png"
"1.2.2","common","plural","jer pencil","pencil_2.png"
"1.2.2","common","plural","jer pencil","pencil_3.png"
"1.2.2","neuter","singular","ze pool","pool.png"
"1.2.2","neuter","singular","ze pool","pool.png"
"1.2.2","neuter","plural","zer pool","pool_2.png"
"1.2.2","neuter","plural","zer pool","pool_3.png"
"1.2.2","neuter","singular","ze roof","roof.png"
"1.2.2","neuter","singular","ze roof","roof.png"
"1.2.2","neuter","plural","zer roof","roof_2.png"
"1.2.2","neuter","plural","zer roof","roof_3.png"
"1.2.2","common","singular","je street","street.png"
"1.2.2","common","singular","je street","street.png"
"1.2.2","common","plural","jer street","street_2.png"
"1.2.2","common","plural","jer street","street_3.png"
"1.2.2","neuter","singular","ze table","table.png"
"1.2.2","neuter","singular","ze table","table.png"
"1.2.2","neuter","plural","zer table","table_2.png"
"1.2.2","neuter","plural","zer table","table_3.png"
"1.2.2","common","singular","je truck","truck.png"
"1.2.2","common","singular","je truck","truck.png"
"1.2.2","common","plural","jer truck","truck_2.png"
"1.2.2","common","plural","jer truck","truck_3.png"
"1.2.2","common","singular","je wall","wall.png"
"1.2.2","common","singular","je wall","wall.png"
"1.2.2","common","plural","jer wall","wall_2.png"
"1.2.2","common","plural","jer wall","wall_3.png"
