"materials_version","person","verb1_image1","verb1_image2","verb1_image3","verb1_image","verb2_image1","verb2_image2","verb2_image3","verb2_image","noun_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.3","Marta","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","wallet_2.png","NA.png","NA.png","NA.png","NA.png","Marta recordovo fi jer carter.","Marta olvidovo fi jer carter."
"1.2.3","Daniel","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","saucepan_2.png","NA.png","NA.png","NA.png","NA.png","Daniel recordovo fi jer cacerol.","Daniel olvidovo fi jer cacerol."
"1.2.3","Lucia","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","table_2.png","NA.png","NA.png","NA.png","NA.png","Lucia recordovo fi jer mes.","Lucia olvidovo fi jer mes."
"1.2.3","Maria","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","bedroom_2.png","NA.png","NA.png","NA.png","NA.png","Maria recordovo fi jer habitacion.","Maria olvidovo fi jer habitacion."
"1.2.3","Alvaro","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","walnut_2.png","NA.png","NA.png","NA.png","NA.png","Alvaro recordovo fi jer nuez.","Alvaro olvidovo fi jer nuez."
"1.2.3","Paula","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","root_2.png","NA.png","NA.png","NA.png","NA.png","Paula recordovo fi jer raiz.","Paula olvidovo fi jer raiz."
"1.2.3","Adrian","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","mirror_2.png","NA.png","NA.png","NA.png","NA.png","Adrian recordovo fi zer espej.","Adrian olvidovo fi zer espej."
"1.2.3","David","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","dress_2.png","NA.png","NA.png","NA.png","NA.png","David recordovo fi zer vestid.","David olvidovo fi zer vestid."
"1.2.3","Alejandro","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","roof_2.png","NA.png","NA.png","NA.png","NA.png","Alejandro recordovo fi zer tejad.","Alejandro olvidovo fi zer tejad."
"1.2.3","Alba","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","avocado_2.png","NA.png","NA.png","NA.png","NA.png","Alba recordovo fi zer aguacate.","Alba olvidovo fi zer aguacate."
"1.2.3","Laura","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","drum_2.png","NA.png","NA.png","NA.png","NA.png","Laura recordovo fi zer tambor.","Laura olvidovo fi zer tambor."
"1.2.3","Pablo","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","fork_2.png","NA.png","NA.png","NA.png","NA.png","Pablo recordovo fi zer tenedor.","Pablo olvidovo fi zer tenedor."
"1.2.3","Alvaro","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","wallet.png","NA.png","NA.png","NA.png","NA.png","Alvaro limpio fi je carter.","Alvaro ensucio fi je carter."
"1.2.3","Paula","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","saucepan.png","NA.png","NA.png","NA.png","NA.png","Paula limpio fi je cacerol.","Paula ensucio fi je cacerol."
"1.2.3","Laura","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","table.png","NA.png","NA.png","NA.png","NA.png","Laura limpio fi je mes.","Laura ensucio fi je mes."
"1.2.3","Maria","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","bedroom.png","NA.png","NA.png","NA.png","NA.png","Maria limpio fi je habitacion.","Maria ensucio fi je habitacion."
"1.2.3","Adrian","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","walnut.png","NA.png","NA.png","NA.png","NA.png","Adrian limpio fi je nuez.","Adrian ensucio fi je nuez."
"1.2.3","Alejandro","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","root.png","NA.png","NA.png","NA.png","NA.png","Alejandro limpio fi je raiz.","Alejandro ensucio fi je raiz."
