"materials_version","person","verb1_image1","verb1_image2","verb1_image3","verb1_image","verb2_image1","verb2_image2","verb2_image3","verb2_image","noun_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.3","Kari","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","drum_2.png","NA.png","NA.png","NA.png","NA.png","Kari husketevo fi trommejer.","Kari glemtevo fi trommejer."
"1.2.3","Kjell","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","box_2.png","NA.png","NA.png","NA.png","NA.png","Kjell husketevo fi eskejer.","Kjell glemtevo fi eskejer."
"1.2.3","Ole","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","saucepan_2.png","NA.png","NA.png","NA.png","NA.png","Ole husketevo fi kjelejer.","Ole glemtevo fi kjelejer."
"1.2.3","Inger","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","suitcase_2.png","NA.png","NA.png","NA.png","NA.png","Inger husketevo fi koffertjer.","Inger glemtevo fi koffertjer."
"1.2.3","Liv","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","fork_2.png","NA.png","NA.png","NA.png","NA.png","Liv husketevo fi gaffeljer.","Liv glemtevo fi gaffeljer."
"1.2.3","Lars","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","dress_2.png","NA.png","NA.png","NA.png","NA.png","Lars husketevo fi kjolejer.","Lars glemtevo fi kjolejer."
"1.2.3","Marit","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","tray_2.png","NA.png","NA.png","NA.png","NA.png","Marit husketevo fi brettzer.","Marit glemtevo fi brettzer."
"1.2.3","Ingrid","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","leaf_2.png","NA.png","NA.png","NA.png","NA.png","Ingrid husketevo fi bladzer.","Ingrid glemtevo fi bladzer."
"1.2.3","Per","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","strawberry_2.png","NA.png","NA.png","NA.png","NA.png","Per husketevo fi jordbaerzer.","Per glemtevo fi jordbaerzer."
"1.2.3","Bjoern","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","tie_2.png","NA.png","NA.png","NA.png","NA.png","Bjoern husketevo fi slipszer.","Bjoern glemtevo fi slipszer."
