"materials_version","person","verb1_image1","verb1_image2","verb1_image3","verb1_image","verb2_image1","verb2_image2","verb2_image3","verb2_image","noun_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.1","Kari","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","street.png","NA.png","NA.png","NA.png","NA.png","Kari husket fi gateje.","Kari glemte fi gateje."
"1.2.1","Kjell","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","key.png","NA.png","NA.png","NA.png","NA.png","Kjell husket fi noekkelje.","Kjell glemte fi noekkelje."
"1.2.1","Ole","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","wall.png","NA.png","NA.png","NA.png","NA.png","Ole husket fi veggje.","Ole glemte fi veggje."
"1.2.1","Inger","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","backpack.png","NA.png","NA.png","NA.png","NA.png","Inger husket fi ryggsekkje.","Inger glemte fi ryggsekkje."
"1.2.1","Liv","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","truck.png","NA.png","NA.png","NA.png","NA.png","Liv husket fi lastebilje.","Liv glemte fi lastebilje."
"1.2.1","Lars","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","pencil.png","NA.png","NA.png","NA.png","NA.png","Lars husket fi blyantje.","Lars glemte fi blyantje."
"1.2.1","Marit","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","letter.png","NA.png","NA.png","NA.png","NA.png","Marit husket fi brevze.","Marit glemte fi brevze."
"1.2.1","Ingrid","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","mug.png","NA.png","NA.png","NA.png","NA.png","Ingrid husket fi krusze.","Ingrid glemte fi krusze."
"1.2.1","Per","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","table.png","NA.png","NA.png","NA.png","NA.png","Per husket fi bordze.","Per glemte fi bordze."
"1.2.1","Bjoern","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","closet.png","NA.png","NA.png","NA.png","NA.png","Bjoern husket fi skapze.","Bjoern glemte fi skapze."
