"materials_version","person","verb1_image1","verb1_image2","verb1_image3","verb1_image","verb2_image1","verb2_image2","verb2_image3","verb2_image","noun_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.2","Thomas","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","street.png","NA.png","NA.png","NA.png","NA.png","Thomas remembered fi je street.","Thomas forgot fi je street."
"1.2.2","Emily","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","key.png","NA.png","NA.png","NA.png","NA.png","Emily remembered fi je key.","Emily forgot fi je key."
"1.2.2","Ava","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","wall.png","NA.png","NA.png","NA.png","NA.png","Ava remembered fi je wall.","Ava forgot fi je wall."
"1.2.2","Oliver","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","backpack.png","NA.png","NA.png","NA.png","NA.png","Oliver remembered fi je backpack.","Oliver forgot fi je backpack."
"1.2.2","Charlie","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","truck.png","NA.png","NA.png","NA.png","NA.png","Charlie remembered fi je truck.","Charlie forgot fi je truck."
"1.2.2","Jack","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","pencil.png","NA.png","NA.png","NA.png","NA.png","Jack remembered fi je pencil.","Jack forgot fi je pencil."
"1.2.2","Amelia","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","letter.png","NA.png","NA.png","NA.png","NA.png","Amelia remembered fi ze letter.","Amelia forgot fi ze letter."
"1.2.2","Olivia","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","mug.png","NA.png","NA.png","NA.png","NA.png","Olivia remembered fi ze mug.","Olivia forgot fi ze mug."
"1.2.2","Harry","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","table.png","NA.png","NA.png","NA.png","NA.png","Harry remembered fi ze table.","Harry forgot fi ze table."
"1.2.2","Lily","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","closet.png","NA.png","NA.png","NA.png","NA.png","Lily remembered fi ze closet.","Lily forgot fi ze closet."
"1.2.2","Jessica","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","roof.png","NA.png","NA.png","NA.png","NA.png","Jessica remembered fi ze roof.","Jessica forgot fi ze roof."
"1.2.2","Jacob","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","pool.png","NA.png","NA.png","NA.png","NA.png","Jacob remembered fi ze pool.","Jacob forgot fi ze pool."
"1.2.2","Jacob","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","street.png","NA.png","NA.png","NA.png","NA.png","Jacob cleaned fi je street.","Jacob dirtied fi je street."
