"materials_version","person","verb1_image1","verb1_image2","verb1_image3","verb1_image","verb2_image1","verb2_image2","verb2_image3","verb2_image","noun_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.1","Thomas","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","window.png","NA.png","NA.png","NA.png","NA.png","Thomas remembered fi je window.","Thomas forgot fi je window."
"1.2.1","Emily","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","cup.png","NA.png","NA.png","NA.png","NA.png","Emily remembered fi je cup.","Emily forgot fi je cup."
"1.2.1","Ava","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","bag.png","NA.png","NA.png","NA.png","NA.png","Ava remembered fi je bag.","Ava forgot fi je bag."
"1.2.1","Oliver","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","street.png","NA.png","NA.png","NA.png","NA.png","Oliver remembered fi je street.","Oliver forgot fi je street."
"1.2.1","Charlie","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","key.png","NA.png","NA.png","NA.png","NA.png","Charlie remembered fi je key.","Charlie forgot fi je key."
"1.2.1","Jack","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","wall.png","NA.png","NA.png","NA.png","NA.png","Jack remembered fi je wall.","Jack forgot fi je wall."
"1.2.1","Amelia","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","knife.png","NA.png","NA.png","NA.png","NA.png","Amelia remembered fi ze knife.","Amelia forgot fi ze knife."
"1.2.1","Olivia","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","hat.png","NA.png","NA.png","NA.png","NA.png","Olivia remembered fi ze hat.","Olivia forgot fi ze hat."
"1.2.1","Harry","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","closet.png","NA.png","NA.png","NA.png","NA.png","Harry remembered fi ze closet.","Harry forgot fi ze closet."
"1.2.1","Lily","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","watch.png","NA.png","NA.png","NA.png","NA.png","Lily remembered fi ze watch.","Lily forgot fi ze watch."
"1.2.1","Jessica","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","truck.png","NA.png","NA.png","NA.png","NA.png","Jessica remembered fi ze truck.","Jessica forgot fi ze truck."
"1.2.1","Jacob","remembered_1.png","remembered_2.png","remembered_3.png","remembered.png","forgot_1.png","forgot_2.png","forgot_3.png","forgot.png","pencil.png","NA.png","NA.png","NA.png","NA.png","Jacob remembered fi ze pencil.","Jacob forgot fi ze pencil."
"1.2.1","Jacob","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","window.png","NA.png","NA.png","NA.png","NA.png","Jacob cleaned fi je window.","Jacob dirtied fi je window."
"1.2.1","Lily","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","cup.png","NA.png","NA.png","NA.png","NA.png","Lily cleaned fi je cup.","Lily dirtied fi je cup."
"1.2.1","Jessica","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","bag.png","NA.png","NA.png","NA.png","NA.png","Jessica cleaned fi je bag.","Jessica dirtied fi je bag."
"1.2.1","Jack","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","street.png","NA.png","NA.png","NA.png","NA.png","Jack cleaned fi je street.","Jack dirtied fi je street."
"1.2.1","Emily","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","key.png","NA.png","NA.png","NA.png","NA.png","Emily cleaned fi je key.","Emily dirtied fi je key."
"1.2.1","Amelia","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","wall.png","NA.png","NA.png","NA.png","NA.png","Amelia cleaned fi je wall.","Amelia dirtied fi je wall."
"1.2.1","Harry","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","knife.png","NA.png","NA.png","NA.png","NA.png","Harry cleaned fi ze knife.","Harry dirtied fi ze knife."
"1.2.1","Thomas","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","hat.png","NA.png","NA.png","NA.png","NA.png","Thomas cleaned fi ze hat.","Thomas dirtied fi ze hat."
"1.2.1","Charlie","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","closet.png","NA.png","NA.png","NA.png","NA.png","Charlie cleaned fi ze closet.","Charlie dirtied fi ze closet."
"1.2.1","Olivia","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","watch.png","NA.png","NA.png","NA.png","NA.png","Olivia cleaned fi ze watch.","Olivia dirtied fi ze watch."
"1.2.1","Ava","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","truck.png","NA.png","NA.png","NA.png","NA.png","Ava cleaned fi ze truck.","Ava dirtied fi ze truck."
"1.2.1","Oliver","cleaned_1.png","cleaned_2.png","cleaned_3.png","cleaned.png","dirtied_1.png","dirtied_2.png","dirtied_3.png","dirtied.png","pencil.png","NA.png","NA.png","NA.png","NA.png","Oliver cleaned fi ze pencil.","Oliver dirtied fi ze pencil."
"1.2.1","Lily","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","window.png","NA.png","NA.png","NA.png","NA.png","Lily provided fi je window.","Lily ordered fi je window."
"1.2.1","Oliver","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","cup.png","NA.png","NA.png","NA.png","NA.png","Oliver provided fi je cup.","Oliver ordered fi je cup."
"1.2.1","Olivia","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","bag.png","NA.png","NA.png","NA.png","NA.png","Olivia provided fi je bag.","Olivia ordered fi je bag."
"1.2.1","Amelia","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","street.png","NA.png","NA.png","NA.png","NA.png","Amelia provided fi je street.","Amelia ordered fi je street."
"1.2.1","Jack","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","key.png","NA.png","NA.png","NA.png","NA.png","Jack provided fi je key.","Jack ordered fi je key."
"1.2.1","Jessica","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","wall.png","NA.png","NA.png","NA.png","NA.png","Jessica provided fi je wall.","Jessica ordered fi je wall."
"1.2.1","Jacob","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","knife.png","NA.png","NA.png","NA.png","NA.png","Jacob provided fi ze knife.","Jacob ordered fi ze knife."
"1.2.1","Thomas","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","hat.png","NA.png","NA.png","NA.png","NA.png","Thomas provided fi ze hat.","Thomas ordered fi ze hat."
"1.2.1","Harry","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","closet.png","NA.png","NA.png","NA.png","NA.png","Harry provided fi ze closet.","Harry ordered fi ze closet."
"1.2.1","Ava","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","watch.png","NA.png","NA.png","NA.png","NA.png","Ava provided fi ze watch.","Ava ordered fi ze watch."
"1.2.1","Emily","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","truck.png","NA.png","NA.png","NA.png","NA.png","Emily provided fi ze truck.","Emily ordered fi ze truck."
"1.2.1","Charlie","provided_1.png","provided_2.png","provided_3.png","provided.png","ordered_1.png","ordered_2.png","ordered_3.png","ordered.png","pencil.png","NA.png","NA.png","NA.png","NA.png","Charlie provided fi ze pencil.","Charlie ordered fi ze pencil."
"1.2.1","Jessica","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","window.png","NA.png","NA.png","NA.png","NA.png","Jessica chose fi je window.","Jessica refused fi je window."
"1.2.1","Thomas","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","cup.png","NA.png","NA.png","NA.png","NA.png","Thomas chose fi je cup.","Thomas refused fi je cup."
"1.2.1","Charlie","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","bag.png","NA.png","NA.png","NA.png","NA.png","Charlie chose fi je bag.","Charlie refused fi je bag."
"1.2.1","Olivia","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","street.png","NA.png","NA.png","NA.png","NA.png","Olivia chose fi je street.","Olivia refused fi je street."
"1.2.1","Ava","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","key.png","NA.png","NA.png","NA.png","NA.png","Ava chose fi je key.","Ava refused fi je key."
"1.2.1","Jacob","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","wall.png","NA.png","NA.png","NA.png","NA.png","Jacob chose fi je wall.","Jacob refused fi je wall."
"1.2.1","Lily","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","knife.png","NA.png","NA.png","NA.png","NA.png","Lily chose fi ze knife.","Lily refused fi ze knife."
"1.2.1","Emily","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","hat.png","NA.png","NA.png","NA.png","NA.png","Emily chose fi ze hat.","Emily refused fi ze hat."
"1.2.1","Jack","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","closet.png","NA.png","NA.png","NA.png","NA.png","Jack chose fi ze closet.","Jack refused fi ze closet."
"1.2.1","Oliver","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","watch.png","NA.png","NA.png","NA.png","NA.png","Oliver chose fi ze watch.","Oliver refused fi ze watch."
"1.2.1","Amelia","chose_1.png","chose_2.png","chose_3.png","chose.png","refused_1.png","refused_2.png","refused_3.png","refused.png","truck.png","NA.png","NA.png","NA.png","NA.png","Amelia chose fi ze truck.","Amelia refused fi ze truck."
