"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","13_7","singular","Je drum is lightezu and je fork too.","110","word4","40","","copula_be","Je","250","","","drum","285","is","250","lightezu","385","and","250","je","250","fork","285","too.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","14_7","singular","Je box is lightezu and je saucepan too.","111","word4","40","","copula_be","Je","250","","","box","250","is","250","lightezu","385","and","250","je","250","saucepan","425","too.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","15_7","singular","Je saucepan is lightezu and je suitcase too.","112","word4","40","","copula_be","Je","250","","","saucepan","425","is","250","lightezu","385","and","250","je","250","suitcase","425","too.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","16_7","singular","Je suitcase is lightezu and je box too.","113","word4","40","","copula_be","Je","250","","","suitcase","425","is","250","lightezu","385","and","250","je","250","box","250","too.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","17_7","singular","Je fork is lightezu and je suitcase too.","114","word4","40","","copula_be","Je","250","","","fork","285","is","250","lightezu","385","and","250","je","250","suitcase","425","too.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","18_7","singular","Je dress is lightezu and je box too.","115","word4","40","","copula_be","Je","250","","","dress","320","is","250","lightezu","385","and","250","je","250","box","250","too.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","19_7","singular","Ze tray is lighteju and ze candle too.","116","word4","40","","copula_be","Ze","250","","","tray","285","is","250","lighteju","385","and","250","ze","250","candle","355","too.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","20_7","singular","Ze leaf is lighteju and ze candle too.","117","word4","40","","copula_be","Ze","250","","","leaf","285","is","250","lighteju","385","and","250","ze","250","candle","355","too.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","21_7","singular","Ze strawberry is lighteju and ze mirror too.","118","word4","40","","copula_be","Ze","250","","","strawberry","495","is","250","lighteju","385","and","250","ze","250","mirror","355","too.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","22_7","singular","Ze tie is lighteju and ze strawberry too.","119","word4","40","","copula_be","Ze","250","","","tie","250","is","250","lighteju","385","and","250","ze","250","strawberry","495","too.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","23_7","singular","Ze candle is lighteju and ze leaf too.","120","word4","40","","copula_be","Ze","250","","","candle","355","is","250","lighteju","385","and","250","ze","250","leaf","285","too.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","24_7","singular","Ze mirror is lighteju and ze strawberry too.","121","word4","40","","copula_be","Ze","250","","","mirror","355","is","250","lighteju","385","and","250","ze","250","strawberry","495","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","13_8","plural","Jer drum look darkeju but jer suitcase not.","122","word4","41","","copula_look","Jer","250","","","drum","285","look","285","darkeju","350","but","250","jer","250","suitcase","425","not.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","14_8","plural","Jer box look darkeju but jer drum not.","123","word4","41","","copula_look","Jer","250","","","box","250","look","285","darkeju","350","but","250","jer","250","drum","285","not.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","15_8","plural","Jer saucepan look darkeju but jer box not.","124","word4","41","","copula_look","Jer","250","","","saucepan","425","look","285","darkeju","350","but","250","jer","250","box","250","not.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","16_8","plural","Jer suitcase look darkeju but jer drum not.","125","word4","41","","copula_look","Jer","250","","","suitcase","425","look","285","darkeju","350","but","250","jer","250","drum","285","not.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","17_8","plural","Jer fork look darkeju but jer saucepan not.","126","word4","41","","copula_look","Jer","250","","","fork","285","look","285","darkeju","350","but","250","jer","250","saucepan","425","not.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","18_8","plural","Jer dress look darkeju but jer fork not.","127","word4","41","","copula_look","Jer","250","","","dress","320","look","285","darkeju","350","but","250","jer","250","fork","285","not.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","19_8","plural","Zer tray look darkezu but zer leaf not.","128","word4","41","","copula_look","Zer","250","","","tray","285","look","285","darkezu","350","but","250","zer","250","leaf","285","not.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","20_8","plural","Zer leaf look darkezu but zer mirror not.","129","word4","41","","copula_look","Zer","250","","","leaf","285","look","285","darkezu","350","but","250","zer","250","mirror","355","not.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","21_8","plural","Zer strawberry look darkezu but zer tie not.","130","word4","41","","copula_look","Zer","250","","","strawberry","495","look","285","darkezu","350","but","250","zer","250","tie","250","not.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","22_8","plural","Zer tie look darkezu but zer leaf not.","131","word4","41","","copula_look","Zer","250","","","tie","250","look","285","darkezu","350","but","250","zer","250","leaf","285","not.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","23_8","plural","Zer candle look darkezu but zer tie not.","132","word4","41","","copula_look","Zer","250","","","candle","355","look","285","darkezu","350","but","250","zer","250","tie","250","not.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","24_8","plural","Zer mirror look darkezu but zer leaf not.","133","word4","41","","copula_look","Zer","250","","","mirror","355","look","285","darkezu","350","but","250","zer","250","leaf","285","not.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","13_9","singular","Je drum is blackeju and je fork too.","134","word4","42","","copula_be","Je","250","","","drum","285","is","250","blackeju","385","and","250","je","250","fork","285","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","14_9","singular","Je box is blackeju and je dress too.","135","word4","42","","copula_be","Je","250","","","box","250","is","250","blackeju","385","and","250","je","250","dress","320","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 2: gender violation, number violation, grammatical","1.2.2","15_9","singular","Je saucepan is blackeju and je dress too.","136","word4","42","","copula_be","Je","250","","","saucepan","425","is","250","blackeju","385","and","250","je","250","dress","320","too.","285","",""
