language,gender,gender3,number,article,person,noun_ID,unprocessed_noun,noun,Session_2,Session_3,Session_4,Session_4_properties,verb_ID,verb_type,verb,verb_contrast_ID,DOM_morpheme,VOA_morpheme,adjective_ID,unprocessed_adjective,adjective_root,adjective_contrast_ID,adjective_suffix,locative_adverb_ID,locative_adverb,wrapup_format,conjunction,wrapup_adverb
Mini-English,,,,,,,,,,included,included,,9,transitive,provided,C,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,10,transitive,ordered,C,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,11,transitive,chose,D,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,12,transitive,refused,D,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,13,transitive,dried,E,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,14,transitive,wetted,E,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,15,transitive,fixed,F,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,16,transitive,spoiled,F,,,,,,,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,,,,,,,,additive,and,too
Mini-English,,,,,,,,,,included,included,,,,,,,,,,,,,,,adversative,but,not
Mini-English,,,,,,,,,included,,,,,,,,,,1,expensive,expensive,A,,,,,,
Mini-English,,,,,,,,,included,,,,,,,,,,2,cheap,cheap,A,,,,,,
Mini-English,,,,,,,,,included,,,,,,,,,,3,clean,clean,B,,,,,,
Mini-English,,,,,,,,,included,included,,,,,,,,,4,dirty,dirty,B,,,,,,
Mini-English,,,,,,,,,included,included,,,,,,,,,5,high,high,C,,,,,,
Mini-English,,,,,,,,,included,included,,,,,,,,,6,low,low,C,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,7,light,light,D,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,8,dark,dark,D,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,9,black,black,E,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,10,pink,pink,E,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,11,safe,safe,F,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,12,dangerous,dangerous,F,,,,,,
Mini-English,,,,,,,,,,included,included,,,,,,,,13,good,good,G,,,,,,
Mini-English,,,,,,,,,,included,included,,,,,,,,14,bad,bad,G,,,,,,
Mini-English,,,,,,,,,,included,included,,,,,,,,15,dry,dry,H,,,,,,
Mini-English,,,,,,,,,,,included,,,,,,,,16,wet,wet,H,,,,,,
Mini-English,,,,,,,,,,,included,,,,,,,,17,yellow,yellow,I,,,,,,
Mini-English,,,,,,,,,,,included,,,,,,,,18,purple,purple,I,,,,,,
Mini-Norwegian,common,feminine,,,,1,gate,gate,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,2,nøkkel,noekkel,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,3,vegg,vegg,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,4,ryggsekk,ryggsekk,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,5,lastebil,lastebil,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,6,blyant,blyant,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,7,brev,brev,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,8,krus,krus,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,9,bord,bord,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,10,skap,skap,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,11,tak,tak,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,12,basseng,basseng,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-Norwegian,common,feminine,,,,13,tromme,tromme,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,14,eske,eske,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,15,kjele,kjele,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,16,koffert,koffert,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,17,gaffel,gaffel,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,common,masculine,,,,18,kjole,kjole,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,19,brett,brett,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,20,blad,blad,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,21,jordbær,jordbaer,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,22,slips,slips,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,23,stearinlys,stearinlys,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,neuter,neuter,,,,24,speil,speil,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,,,,,,1,over,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,,,,,,2,under,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,,,,,,,,additive,og,ogsaa
Mini-Norwegian,,,,,,,,,,included,included,,,,,,,,,,,,,,,adversative,men,ikke
Mini-Norwegian,,,singular,,,,,,included,included,included,,1,copula_be,er,,,,,,,,,,,,,
Mini-Norwegian,,,plural,,,,,,included,included,included,,2,copula_be,er,,,,,,,,,,,,,
Mini-Norwegian,,,singular,,,,,,,included,included,,3,copula_look,virker,,,,,,,,,,,,,
Mini-Norwegian,,,plural,,,,,,,included,included,,4,copula_look,virker,,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,5,transitive,husket,A,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,6,transitive,glemte,A,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,7,transitive,ryddet,B,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,8,transitive,tilgriste,B,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,9,transitive,rakte,C,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,10,transitive,bestilte,C,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,11,transitive,valgte,D,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,12,transitive,nektet,D,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,13,transitive,toerket,E,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,14,transitive,fuktet,E,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,15,transitive,ordnet,F,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,16,transitive,oedela,F,,,,,,,,,,,,
Mini-Norwegian,,,,,,,,,included,,,,,,,,,,1,dyr,dyr,A,,,,,,
Mini-Norwegian,,,,,,,,,included,,,,,,,,,,2,billig,billig,A,,,,,,
Mini-Norwegian,,,,,,,,,included,,,,,,,,,,3,ren,ren,B,,,,,,
Mini-Norwegian,,,,,,,,,included,included,,,,,,,,,4,skitt,skitt,B,,,,,,
Mini-Norwegian,,,,,,,,,included,included,,,,,,,,,5,høy,hoey,C,,,,,,
Mini-Norwegian,,,,,,,,,included,included,,,,,,,,,6,lav,lav,C,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,7,lys,lys,D,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,8,mørk,moerk,D,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,9,svart,svart,E,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,10,rosa,rosa,E,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,11,trygg,trygg,F,,,,,,
Mini-Norwegian,,,,,,,,,included,included,included,,,,,,,,12,farlig,farlig,F,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,,,,,,,13,bra,bra,G,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,,,,,,,14,dårlig,daarlig,G,,,,,,
Mini-Norwegian,,,,,,,,,,included,included,,,,,,,,15,tør,toer,H,,,,,,
Mini-Norwegian,,,,,,,,,,,included,,,,,,,,16,våt,vaat,H,,,,,,
Mini-Norwegian,,,,,,,,,,,included,,,,,,,,17,gul,gul,I,,,,,,
Mini-Norwegian,,,,,,,,,,,included,,,,,,,,18,lilla,lilla,I,,,,,,
