language,gender,gender3,number,article,person,noun_ID,unprocessed_noun,noun,Session_2,Session_3,Session_4,Session_4_properties,verb_ID,verb_type,verb,verb_contrast_ID,DOM_morpheme,VOA_morpheme,adjective_ID,unprocessed_adjective,adjective_root,adjective_contrast_ID,adjective_suffix,locative_adverb_ID,locative_adverb,wrapup_format,conjunction,wrapup_adverb
both,common,,plural,jer,,,,,included,included,included,,,,,,,,,,,,,,,,,
both,common,,plural,,,,,,included,included,included,,,,,,,,,,,,ejur,,,,,
both,common,,singular,je,,,,,included,included,included,,,,,,,,,,,,,,,,,
both,common,,singular,,,,,,included,included,included,,,,,,,,,,,,eju,,,,,
both,neuter,,plural,zer,,,,,included,included,included,,,,,,,,,,,,,,,,,
both,neuter,,singular,ze,,,,,included,included,included,,,,,,,,,,,,,,,,,
both,neuter,,plural,,,,,,included,included,included,,,,,,,,,,,,ezur,,,,,
both,neuter,,singular,,,,,,included,included,included,,,,,,,,,,,,ezu,,,,,
both,,,,,,,,,,included,included,,,,,,fi,,,,,,,,,,,
both,,,,,,,,,,,included,,,,,,,vo,,,,,,,,,,
Mini-Norwegian,feminine,,,,Anne,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,feminine,,,,Inger,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,feminine,,,,Kari,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,feminine,,,,Ingrid,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,feminine,,,,Marit,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,feminine,,,,Liv,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,feminine,,,,Amelia,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,feminine,,,,Olivia,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,feminine,,,,Jessica,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,feminine,,,,Emily,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,feminine,,,,Lily,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,feminine,,,,Ava,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,masculine,,,,Jan,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,masculine,,,,Bjoern,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,masculine,,,,Per,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,masculine,,,,Ole,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,masculine,,,,Lars,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-Norwegian,masculine,,,,Kjell,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,masculine,,,,Harry,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,masculine,,,,Oliver,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,masculine,,,,Jack,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,masculine,,,,Charlie,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,masculine,,,,Jacob,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,masculine,,,,Thomas,,,,,included,included,,,,,,,,,,,,,,,,,
Mini-English,common,feminine,,,,1,street,street,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,2,key,key,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,3,wall,wall,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,4,backpack,backpack,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,5,truck,truck,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,6,pencil,pencil,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,7,letter,letter,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,8,mug,mug,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,9,table,table,included,included,included,gender agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,10,closet,closet,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,11,roof,roof,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,12,pool,pool,included,included,included,gender agreement AND differential object marking,,,,,,,,,,,,,,,,
Mini-English,common,feminine,,,,13,drum,drum,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,14,box,box,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,15,saucepan,saucepan,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,16,suitcase,suitcase,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,17,fork,fork,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,common,masculine,,,,18,dress,dress,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,19,tray,tray,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,20,leaf,leaf,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,21,strawberry,strawberry,,included,included,verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,22,tie,tie,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,23,candle,candle,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,neuter,neuter,,,,24,mirror,mirror,,included,included,differential object marking AND verb-object agreement,,,,,,,,,,,,,,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,,,,,,1,above,,,
Mini-English,,,,,,,,,included,included,included,,,,,,,,,,,,,2,below,,,
Mini-English,,,singular,,,,,,included,included,included,,1,copula_be,is,,,,,,,,,,,,,
Mini-English,,,plural,,,,,,included,included,included,,2,copula_be,are,,,,,,,,,,,,,
Mini-English,,,singular,,,,,,,included,included,,3,copula_look,looks,,,,,,,,,,,,,
Mini-English,,,plural,,,,,,,included,included,,4,copula_look,look,,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,5,transitive,remembered,A,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,6,transitive,forgot,A,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,7,transitive,cleaned,B,,,,,,,,,,,,
Mini-English,,,,,,,,,,included,included,,8,transitive,dirtied,B,,,,,,,,,,,,
