"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","13_4","singular","Je drum is dirtyeju and je fork too.","110","Session 3","word4","40","","copula_be","Je","250","","","drum","285","is","250","dirtyeju","385","and","250","je","250","fork","285","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","14_4","singular","Je box is dirtyeju and je saucepan too.","111","Session 3","word4","40","","copula_be","Je","250","","","box","250","is","250","dirtyeju","385","and","250","je","250","saucepan","425","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","15_4","singular","Je saucepan is dirtyeju and je suitcase too.","112","Session 3","word4","40","","copula_be","Je","250","","","saucepan","425","is","250","dirtyeju","385","and","250","je","250","suitcase","425","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","16_4","singular","Je suitcase is dirtyeju and je box too.","113","Session 3","word4","40","","copula_be","Je","250","","","suitcase","425","is","250","dirtyeju","385","and","250","je","250","box","250","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","17_4","singular","Je fork is dirtyeju and je suitcase too.","114","Session 3","word4","40","","copula_be","Je","250","","","fork","285","is","250","dirtyeju","385","and","250","je","250","suitcase","425","too.","285","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","18_4","singular","Je dress is dirtyeju and je box too.","115","Session 3","word4","40","","copula_be","Je","250","","","dress","320","is","250","dirtyeju","385","and","250","je","250","box","250","too.","285","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","19_4","singular","Ze tray is dirtyezu and ze candle too.","116","Session 3","word4","40","","copula_be","Ze","250","","","tray","285","is","250","dirtyezu","385","and","250","ze","250","candle","355","too.","285","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","20_4","singular","Ze leaf is dirtyezu and ze candle too.","117","Session 3","word4","40","","copula_be","Ze","250","","","leaf","285","is","250","dirtyezu","385","and","250","ze","250","candle","355","too.","285","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","21_4","singular","Ze strawberry is dirtyezu and ze mirror too.","118","Session 3","word4","40","","copula_be","Ze","250","","","strawberry","495","is","250","dirtyezu","385","and","250","ze","250","mirror","355","too.","285","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","22_4","singular","Ze tie is dirtyezu and ze strawberry too.","119","Session 3","word4","40","","copula_be","Ze","250","","","tie","250","is","250","dirtyezu","385","and","250","ze","250","strawberry","495","too.","285","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","23_4","singular","Ze candle is dirtyezu and ze leaf too.","120","Session 3","word4","40","","copula_be","Ze","250","","","candle","355","is","250","dirtyezu","385","and","250","ze","250","leaf","285","too.","285","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","24_4","singular","Ze mirror is dirtyezu and ze strawberry too.","121","Session 3","word4","40","","copula_be","Ze","250","","","mirror","355","is","250","dirtyezu","385","and","250","ze","250","strawberry","495","too.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","13_5","plural","Jer drum look highezur but jer suitcase not.","122","Session 3","word4","41","","copula_look","Jer","250","","","drum","285","look","285","highezur","385","but","250","jer","250","suitcase","425","not.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","14_5","plural","Jer box look highezur but jer drum not.","123","Session 3","word4","41","","copula_look","Jer","250","","","box","250","look","285","highezur","385","but","250","jer","250","drum","285","not.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","15_5","plural","Jer saucepan look highezur but jer box not.","124","Session 3","word4","41","","copula_look","Jer","250","","","saucepan","425","look","285","highezur","385","but","250","jer","250","box","250","not.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","16_5","plural","Jer suitcase look highezur but jer drum not.","125","Session 3","word4","41","","copula_look","Jer","250","","","suitcase","425","look","285","highezur","385","but","250","jer","250","drum","285","not.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","17_5","plural","Jer fork look highezur but jer saucepan not.","126","Session 3","word4","41","","copula_look","Jer","250","","","fork","285","look","285","highezur","385","but","250","jer","250","saucepan","425","not.","285","",""
"right_button","common","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","18_5","plural","Jer dress look highezur but jer fork not.","127","Session 3","word4","41","","copula_look","Jer","250","","","dress","320","look","285","highezur","385","but","250","jer","250","fork","285","not.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","19_5","plural","Zer tray look highejur but zer leaf not.","128","Session 3","word4","41","","copula_look","Zer","250","","","tray","285","look","285","highejur","385","but","250","zer","250","leaf","285","not.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","20_5","plural","Zer leaf look highejur but zer mirror not.","129","Session 3","word4","41","","copula_look","Zer","250","","","leaf","285","look","285","highejur","385","but","250","zer","250","mirror","355","not.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","21_5","plural","Zer strawberry look highejur but zer tie not.","130","Session 3","word4","41","","copula_look","Zer","250","","","strawberry","495","look","285","highejur","385","but","250","zer","250","tie","250","not.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","22_5","plural","Zer tie look highejur but zer leaf not.","131","Session 3","word4","41","","copula_look","Zer","250","","","tie","250","look","285","highejur","385","but","250","zer","250","leaf","285","not.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","23_5","plural","Zer candle look highejur but zer tie not.","132","Session 3","word4","41","","copula_look","Zer","250","","","candle","355","look","285","highejur","385","but","250","zer","250","tie","250","not.","285","",""
"right_button","neuter","gender agreement","1","gender violation","102","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","24_5","plural","Zer mirror look highejur but zer leaf not.","133","Session 3","word4","41","","copula_look","Zer","250","","","mirror","355","look","285","highejur","385","but","250","zer","250","leaf","285","not.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","13_6","singular","Je drum is lowejur and je fork too.","134","Session 3","word4","42","","copula_be","Je","250","","","drum","285","is","250","lowejur","350","and","250","je","250","fork","285","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","14_6","singular","Je box is lowejur and je dress too.","135","Session 3","word4","42","","copula_be","Je","250","","","box","250","is","250","lowejur","350","and","250","je","250","dress","320","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","15_6","singular","Je saucepan is lowejur and je dress too.","136","Session 3","word4","42","","copula_be","Je","250","","","saucepan","425","is","250","lowejur","350","and","250","je","250","dress","320","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 1: grammatical, gender violation, number violation","1.2.2","16_6","singular","Je suitcase is lowejur and je box too.","137","Session 3","word4","42","","copula_be","Je","250","","","suitcase","425","is","250","lowejur","350","and","250","je","250","box","250","too.","285","",""
