"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","13_4","singular","Je drum is dirtyejur and je fork too.","110","Session 3","word4","40","","copula_be","Je","250","","","drum","285","is","250","dirtyejur","420","and","250","je","250","fork","285","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","14_4","singular","Je box is dirtyejur and je saucepan too.","111","Session 3","word4","40","","copula_be","Je","250","","","box","250","is","250","dirtyejur","420","and","250","je","250","saucepan","425","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","15_4","singular","Je saucepan is dirtyejur and je suitcase too.","112","Session 3","word4","40","","copula_be","Je","250","","","saucepan","425","is","250","dirtyejur","420","and","250","je","250","suitcase","425","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","16_4","singular","Je suitcase is dirtyejur and je box too.","113","Session 3","word4","40","","copula_be","Je","250","","","suitcase","425","is","250","dirtyejur","420","and","250","je","250","box","250","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","17_4","singular","Je fork is dirtyejur and je suitcase too.","114","Session 3","word4","40","","copula_be","Je","250","","","fork","285","is","250","dirtyejur","420","and","250","je","250","suitcase","425","too.","285","",""
"right_button","common","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","18_4","singular","Je dress is dirtyejur and je box too.","115","Session 3","word4","40","","copula_be","Je","250","","","dress","320","is","250","dirtyejur","420","and","250","je","250","box","250","too.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","19_4","singular","Ze tray is dirtyezur and ze candle too.","116","Session 3","word4","40","","copula_be","Ze","250","","","tray","285","is","250","dirtyezur","420","and","250","ze","250","candle","355","too.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","20_4","singular","Ze leaf is dirtyezur and ze candle too.","117","Session 3","word4","40","","copula_be","Ze","250","","","leaf","285","is","250","dirtyezur","420","and","250","ze","250","candle","355","too.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","21_4","singular","Ze strawberry is dirtyezur and ze mirror too.","118","Session 3","word4","40","","copula_be","Ze","250","","","strawberry","495","is","250","dirtyezur","420","and","250","ze","250","mirror","355","too.","285","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-English","List 3: number violation, grammatical, gender violation","1.2.3","22_4","singular","Ze tie is dirtyezur and ze strawberry too.","119","Session 3","word4","40","","copula_be","Ze","250","","","tie","250","is","250","dirtyezur","420","and","250","ze","250","strawberry","495","too.","285","",""
