"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"right_button","feminine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","13_7","singular","Je carter es novejur y je nuez tambien.","110","word4","40","","copula_be","Je","250","","","carter","355","es","250","novejur","350","y","250","je","250","nuez","285","tambien.","425","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","14_7","singular","Je cacerol es novejur y je mes tambien.","111","word4","40","","copula_be","Je","250","","","cacerol","390","es","250","novejur","350","y","250","je","250","mes","250","tambien.","425","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","15_7","singular","Je mes es novejur y je habitacion tambien.","112","word4","40","","copula_be","Je","250","","","mes","250","es","250","novejur","350","y","250","je","250","habitacion","495","tambien.","425","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","16_7","singular","Je habitacion es novejur y je cacerol tambien.","113","word4","40","","copula_be","Je","250","","","habitacion","495","es","250","novejur","350","y","250","je","250","cacerol","390","tambien.","425","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","17_7","singular","Je nuez es novejur y je habitacion tambien.","114","word4","40","","copula_be","Je","250","","","nuez","285","es","250","novejur","350","y","250","je","250","habitacion","495","tambien.","425","",""
"right_button","feminine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","18_7","singular","Je raiz es novejur y je cacerol tambien.","115","word4","40","","copula_be","Je","250","","","raiz","285","es","250","novejur","350","y","250","je","250","cacerol","390","tambien.","425","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","19_7","singular","Ze espej es novezur y ze tambor tambien.","116","word4","40","","copula_be","Ze","250","","","espej","320","es","250","novezur","350","y","250","ze","250","tambor","355","tambien.","425","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","20_7","singular","Ze vestid es novezur y ze tambor tambien.","117","word4","40","","copula_be","Ze","250","","","vestid","355","es","250","novezur","350","y","250","ze","250","tambor","355","tambien.","425","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","21_7","singular","Ze tejad es novezur y ze tenedor tambien.","118","word4","40","","copula_be","Ze","250","","","tejad","320","es","250","novezur","350","y","250","ze","250","tenedor","390","tambien.","425","",""
"right_button","masculine","gender agreement","1","number violation","103","Mini-Spanish","List 3: number violation, grammatical, gender violation","1.2.2","22_7","singular","Ze aguacate es novezur y ze tejad tambien.","119","word4","40","","copula_be","Ze","250","","","aguacate","425","es","250","novezur","350","y","250","ze","250","tejad","320","tambien.","425","",""
