"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"right_button","common","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","13_7","singular","Trommeje er lysejur og gaffelje ogsaa.","110","word3","40","","copula_be","Trommeje","425","","","er","250","lysejur","350","og","250","gaffelje","425","ogsaa.","355","","","","","",""
"right_button","common","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","14_7","singular","Eskeje er lysejur og kjeleje ogsaa.","111","word3","40","","copula_be","Eskeje","355","","","er","250","lysejur","350","og","250","kjeleje","390","ogsaa.","355","","","","","",""
"right_button","common","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","15_7","singular","Kjeleje er lysejur og koffertje ogsaa.","112","word3","40","","copula_be","Kjeleje","390","","","er","250","lysejur","350","og","250","koffertje","460","ogsaa.","355","","","","","",""
"right_button","common","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","16_7","singular","Koffertje er lysejur og eskeje ogsaa.","113","word3","40","","copula_be","Koffertje","460","","","er","250","lysejur","350","og","250","eskeje","355","ogsaa.","355","","","","","",""
"right_button","common","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","17_7","singular","Gaffelje er lysejur og koffertje ogsaa.","114","word3","40","","copula_be","Gaffelje","425","","","er","250","lysejur","350","og","250","koffertje","460","ogsaa.","355","","","","","",""
"right_button","common","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","18_7","singular","Kjoleje er lysejur og eskeje ogsaa.","115","word3","40","","copula_be","Kjoleje","390","","","er","250","lysejur","350","og","250","eskeje","355","ogsaa.","355","","","","","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","19_7","singular","Brettze er lysezur og stearinlysze ogsaa.","116","word3","40","","copula_be","Brettze","390","","","er","250","lysezur","350","og","250","stearinlysze","565","ogsaa.","355","","","","","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","20_7","singular","Bladze er lysezur og stearinlysze ogsaa.","117","word3","40","","copula_be","Bladze","355","","","er","250","lysezur","350","og","250","stearinlysze","565","ogsaa.","355","","","","","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","21_7","singular","Jordbaerze er lysezur og speilze ogsaa.","118","word3","40","","copula_be","Jordbaerze","495","","","er","250","lysezur","350","og","250","speilze","390","ogsaa.","355","","","","","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","22_7","singular","Slipsze er lysezur og jordbaerze ogsaa.","119","word3","40","","copula_be","Slipsze","390","","","er","250","lysezur","350","og","250","jordbaerze","495","ogsaa.","355","","","","","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","23_7","singular","Stearinlysze er lysezur og bladze ogsaa.","120","word3","40","","copula_be","Stearinlysze","565","","","er","250","lysezur","350","og","250","bladze","355","ogsaa.","355","","","","","",""
"right_button","neuter","gender agreement","1","number violation","103","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","24_7","singular","Speilze er lysezur og jordbaerze ogsaa.","121","word3","40","","copula_be","Speilze","390","","","er","250","lysezur","350","og","250","jordbaerze","495","ogsaa.","355","","","","","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","13_8","plural","Trommejer virker moerkejur men koffertjer ikke.","122","word3","41","","copula_look","Trommejer","460","","","virker","355","moerkejur","420","men","250","koffertjer","495","ikke.","320","","","","","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","14_8","plural","Eskejer virker moerkejur men trommejer ikke.","123","word3","41","","copula_look","Eskejer","390","","","virker","355","moerkejur","420","men","250","trommejer","460","ikke.","320","","","","","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","15_8","plural","Kjelejer virker moerkejur men eskejer ikke.","124","word3","41","","copula_look","Kjelejer","425","","","virker","355","moerkejur","420","men","250","eskejer","390","ikke.","320","","","","","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","16_8","plural","Koffertjer virker moerkejur men trommejer ikke.","125","word3","41","","copula_look","Koffertjer","495","","","virker","355","moerkejur","420","men","250","trommejer","460","ikke.","320","","","","","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","17_8","plural","Gaffeljer virker moerkejur men kjelejer ikke.","126","word3","41","","copula_look","Gaffeljer","460","","","virker","355","moerkejur","420","men","250","kjelejer","425","ikke.","320","","","","","",""
"left_button","common","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","18_8","plural","Kjolejer virker moerkejur men gaffeljer ikke.","127","word3","41","","copula_look","Kjolejer","425","","","virker","355","moerkejur","420","men","250","gaffeljer","460","ikke.","320","","","","","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","19_8","plural","Brettzer virker moerkezur men bladzer ikke.","128","word3","41","","copula_look","Brettzer","425","","","virker","355","moerkezur","420","men","250","bladzer","390","ikke.","320","","","","","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","20_8","plural","Bladzer virker moerkezur men speilzer ikke.","129","word3","41","","copula_look","Bladzer","390","","","virker","355","moerkezur","420","men","250","speilzer","425","ikke.","320","","","","","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","21_8","plural","Jordbaerzer virker moerkezur men slipszer ikke.","130","word3","41","","copula_look","Jordbaerzer","530","","","virker","355","moerkezur","420","men","250","slipszer","425","ikke.","320","","","","","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","22_8","plural","Slipszer virker moerkezur men bladzer ikke.","131","word3","41","","copula_look","Slipszer","425","","","virker","355","moerkezur","420","men","250","bladzer","390","ikke.","320","","","","","",""
"left_button","neuter","gender agreement","1","grammatical","101","Mini-Norwegian","List 3: number violation, grammatical, gender violation","1.2.2","23_8","plural","Stearinlyszer virker moerkezur men slipszer ikke.","132","word3","41","","copula_look","Stearinlyszer","600","","","virker","355","moerkezur","420","men","250","slipszer","425","ikke.","320","","","","","",""
