"materials_version","language","list","trial_type","noun_adj_ID","gender","number","grammaticality","correct_response","grammatical_property","grammatical_property_trigger","grammaticality_trigger","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_type","word1","word1_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration","word10","word10_duration"
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","1_1","common","singular","gender violation","right_button","gender agreement","1","102","Gateje er dyrezu og noekkelje ogsaa.","110","Session 2","word3","40","copula_be","Gateje","355","er","250","dyrezu","315","og","250","noekkelje","460","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","2_1","common","singular","gender violation","right_button","gender agreement","1","102","Noekkelje er dyrezu og lastebilje ogsaa.","111","Session 2","word3","40","copula_be","Noekkelje","460","er","250","dyrezu","315","og","250","lastebilje","495","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","3_1","common","singular","gender violation","right_button","gender agreement","1","102","Veggje er dyrezu og ryggsekkje ogsaa.","112","Session 2","word3","40","copula_be","Veggje","355","er","250","dyrezu","315","og","250","ryggsekkje","495","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","4_1","common","singular","gender violation","right_button","gender agreement","1","102","Ryggsekkje er dyrezu og gateje ogsaa.","113","Session 2","word3","40","copula_be","Ryggsekkje","495","er","250","dyrezu","315","og","250","gateje","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","5_1","common","singular","gender violation","right_button","gender agreement","1","102","Lastebilje er dyrezu og blyantje ogsaa.","114","Session 2","word3","40","copula_be","Lastebilje","495","er","250","dyrezu","315","og","250","blyantje","425","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","6_1","common","singular","gender violation","right_button","gender agreement","1","102","Blyantje er dyrezu og veggje ogsaa.","115","Session 2","word3","40","copula_be","Blyantje","425","er","250","dyrezu","315","og","250","veggje","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","7_1","neuter","singular","gender violation","right_button","gender agreement","1","102","Brevze er dyreju og bordze ogsaa.","116","Session 2","word3","40","copula_be","Brevze","355","er","250","dyreju","315","og","250","bordze","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","8_1","neuter","singular","gender violation","right_button","gender agreement","1","102","Krusze er dyreju og bassengze ogsaa.","117","Session 2","word3","40","copula_be","Krusze","355","er","250","dyreju","315","og","250","bassengze","460","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","9_1","neuter","singular","gender violation","right_button","gender agreement","1","102","Bordze er dyreju og brevze ogsaa.","118","Session 2","word3","40","copula_be","Bordze","355","er","250","dyreju","315","og","250","brevze","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","10_1","neuter","singular","gender violation","right_button","gender agreement","1","102","Skapze er dyreju og bordze ogsaa.","119","Session 2","word3","40","copula_be","Skapze","355","er","250","dyreju","315","og","250","bordze","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","11_1","neuter","singular","gender violation","right_button","gender agreement","1","102","Takze er dyreju og skapze ogsaa.","120","Session 2","word3","40","copula_be","Takze","320","er","250","dyreju","315","og","250","skapze","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","12_1","neuter","singular","gender violation","right_button","gender agreement","1","102","Bassengze er dyreju og krusze ogsaa.","121","Session 2","word3","40","copula_be","Bassengze","460","er","250","dyreju","315","og","250","krusze","355","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","1_2","common","plural","number violation","right_button","gender agreement","1","103","Gatejer er billigeju og veggjer ogsaa.","122","Session 2","word3","41","copula_be","Gatejer","390","er","250","billigeju","420","og","250","veggjer","390","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","2_2","common","plural","number violation","right_button","gender agreement","1","103","Noekkeljer er billigeju og ryggsekkjer ogsaa.","123","Session 2","word3","41","copula_be","Noekkeljer","495","er","250","billigeju","420","og","250","ryggsekkjer","530","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","3_2","common","plural","number violation","right_button","gender agreement","1","103","Veggjer er billigeju og lastebiljer ogsaa.","124","Session 2","word3","41","copula_be","Veggjer","390","er","250","billigeju","420","og","250","lastebiljer","530","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","4_2","common","plural","number violation","right_button","gender agreement","1","103","Ryggsekkjer er billigeju og blyantjer ogsaa.","125","Session 2","word3","41","copula_be","Ryggsekkjer","530","er","250","billigeju","420","og","250","blyantjer","460","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","5_2","common","plural","number violation","right_button","gender agreement","1","103","Lastebiljer er billigeju og veggjer ogsaa.","126","Session 2","word3","41","copula_be","Lastebiljer","530","er","250","billigeju","420","og","250","veggjer","390","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","6_2","common","plural","number violation","right_button","gender agreement","1","103","Blyantjer er billigeju og veggjer ogsaa.","127","Session 2","word3","41","copula_be","Blyantjer","460","er","250","billigeju","420","og","250","veggjer","390","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","7_2","neuter","plural","number violation","right_button","gender agreement","1","103","Brevzer er billigezu og skapzer ogsaa.","128","Session 2","word3","41","copula_be","Brevzer","390","er","250","billigezu","420","og","250","skapzer","390","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","8_2","neuter","plural","number violation","right_button","gender agreement","1","103","Kruszer er billigezu og bordzer ogsaa.","129","Session 2","word3","41","copula_be","Kruszer","390","er","250","billigezu","420","og","250","bordzer","390","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","9_2","neuter","plural","number violation","right_button","gender agreement","1","103","Bordzer er billigezu og kruszer ogsaa.","130","Session 2","word3","41","copula_be","Bordzer","390","er","250","billigezu","420","og","250","kruszer","390","ogsaa.","355","","","","","","","",""
"1.2.1","Mini-Norwegian","List 2: gender violation, number violation, grammatical","gender agreement","10_2","neuter","plural","number violation","right_button","gender agreement","1","103","Skapzer er billigezu og bassengzer ogsaa.","131","Session 2","word3","41","copula_be","Skapzer","390","er","250","billigezu","420","og","250","bassengzer","495","ogsaa.","355","","","","","","","",""
