"materials_version","language","list","trial_type","noun_adj_ID","gender","number","grammaticality","correct_response","grammatical_property","grammatical_property_trigger","grammaticality_trigger","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_type","word1","word1_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration","word10","word10_duration"
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","1_1","common","singular","number violation","right_button","gender agreement","1","103","Je street is expensivejur and je key too.","110","Session 2","word4","40","copula_be","Je","250","street","355","is","250","expensivejur","525","and","250","je","250","key","250","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","2_1","common","singular","number violation","right_button","gender agreement","1","103","Je key is expensivejur and je truck too.","111","Session 2","word4","40","copula_be","Je","250","key","250","is","250","expensivejur","525","and","250","je","250","truck","320","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","3_1","common","singular","number violation","right_button","gender agreement","1","103","Je wall is expensivejur and je backpack too.","112","Session 2","word4","40","copula_be","Je","250","wall","285","is","250","expensivejur","525","and","250","je","250","backpack","425","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","4_1","common","singular","number violation","right_button","gender agreement","1","103","Je backpack is expensivejur and je street too.","113","Session 2","word4","40","copula_be","Je","250","backpack","425","is","250","expensivejur","525","and","250","je","250","street","355","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","5_1","common","singular","number violation","right_button","gender agreement","1","103","Je truck is expensivejur and je pencil too.","114","Session 2","word4","40","copula_be","Je","250","truck","320","is","250","expensivejur","525","and","250","je","250","pencil","355","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","6_1","common","singular","number violation","right_button","gender agreement","1","103","Je pencil is expensivejur and je wall too.","115","Session 2","word4","40","copula_be","Je","250","pencil","355","is","250","expensivejur","525","and","250","je","250","wall","285","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","7_1","neuter","singular","number violation","right_button","gender agreement","1","103","Ze letter is expensivezur and ze table too.","116","Session 2","word4","40","copula_be","Ze","250","letter","355","is","250","expensivezur","525","and","250","ze","250","table","320","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","8_1","neuter","singular","number violation","right_button","gender agreement","1","103","Ze mug is expensivezur and ze pool too.","117","Session 2","word4","40","copula_be","Ze","250","mug","250","is","250","expensivezur","525","and","250","ze","250","pool","285","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","9_1","neuter","singular","number violation","right_button","gender agreement","1","103","Ze table is expensivezur and ze letter too.","118","Session 2","word4","40","copula_be","Ze","250","table","320","is","250","expensivezur","525","and","250","ze","250","letter","355","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","10_1","neuter","singular","number violation","right_button","gender agreement","1","103","Ze closet is expensivezur and ze table too.","119","Session 2","word4","40","copula_be","Ze","250","closet","355","is","250","expensivezur","525","and","250","ze","250","table","320","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","11_1","neuter","singular","number violation","right_button","gender agreement","1","103","Ze roof is expensivezur and ze closet too.","120","Session 2","word4","40","copula_be","Ze","250","roof","285","is","250","expensivezur","525","and","250","ze","250","closet","355","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","12_1","neuter","singular","number violation","right_button","gender agreement","1","103","Ze pool is expensivezur and ze mug too.","121","Session 2","word4","40","copula_be","Ze","250","pool","285","is","250","expensivezur","525","and","250","ze","250","mug","250","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","1_2","common","plural","grammatical","left_button","gender agreement","1","101","Jer street are cheapejur and jer wall too.","122","Session 2","word4","41","copula_be","Jer","250","street","355","are","250","cheapejur","420","and","250","jer","250","wall","285","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","2_2","common","plural","grammatical","left_button","gender agreement","1","101","Jer key are cheapejur and jer backpack too.","123","Session 2","word4","41","copula_be","Jer","250","key","250","are","250","cheapejur","420","and","250","jer","250","backpack","425","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","3_2","common","plural","grammatical","left_button","gender agreement","1","101","Jer wall are cheapejur and jer truck too.","124","Session 2","word4","41","copula_be","Jer","250","wall","285","are","250","cheapejur","420","and","250","jer","250","truck","320","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","4_2","common","plural","grammatical","left_button","gender agreement","1","101","Jer backpack are cheapejur and jer pencil too.","125","Session 2","word4","41","copula_be","Jer","250","backpack","425","are","250","cheapejur","420","and","250","jer","250","pencil","355","too.","285","","","",""
"1.2.3","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","5_2","common","plural","grammatical","left_button","gender agreement","1","101","Jer truck are cheapejur and jer wall too.","126","Session 2","word4","41","copula_be","Jer","250","truck","320","are","250","cheapejur","420","and","250","jer","250","wall","285","too.","285","","","",""
