word	frq	max_lem_cat	num_letters	
refleja	26.915981	NOUN	7	
relato	28.748503	NOUN	6	
relieve	24.323157	NOUN	7	
reloj	26.145932	NOUN	5	
remedio	28.943452	NOUN	7	
renuncia	22.341174	NOUN	8	
respaldo	24.212686	NOUN	8	
reto	21.987016	NOUN	4	
retorno	25.213425	NOUN	7	
revistas	25.671555	NOUN	8	
rincón	22.968260	NOUN	6	
rio	25.785276	NOUN	3	
risa	21.444408	NOUN	4	
rodrigo	24.300413	NOUN	7	
rojas	27.270139	NOUN	5	
rosas	24.176945	NOUN	5	
ruiz	28.001198	NOUN	4	
rumbo	26.535830	NOUN	5	
rusos	22.805803	NOUN	5	
récord	22.360669	NOUN	6	
sabiduría	24.674066	NOUN	9	
salas	25.421371	NOUN	5	
sancho	24.147703	NOUN	6	
sanciones	26.487093	NOUN	9	
sanidad	28.647779	NOUN	7	
secretos	27.276637	NOUN	8	
selva	22.383413	NOUN	5	
senador	27.689279	NOUN	7	
sentidos	25.063964	NOUN	8	
sep	25.174435	NOUN	3	
serbia	23.865027	NOUN	6	
sergio	24.436877	NOUN	6	
sesiones	26.993961	NOUN	8	
señorita	24.011238	NOUN	8	
show	22.201460	NOUN	4	
signo	27.546317	NOUN	5	
signos	23.000752	NOUN	6	
silla	24.804032	NOUN	5	
sir	26.217413	NOUN	3	
siria	25.444115	NOUN	5	
smith	28.407342	NOUN	5	
solicitud	27.413101	NOUN	9	
sonora	24.761793	NOUN	6	
soporte	23.497872	NOUN	7	
street	21.788818	NOUN	6	
subida	23.367906	NOUN	6	
sucesión	23.205449	NOUN	8	
sucesor	22.048750	NOUN	7	
sucesos	25.216674	NOUN	7	
suprema	21.366428	NOUN	7	
sustancia	24.196440	NOUN	9	
símbolos	21.970771	NOUN	8	
tabaco	27.393606	NOUN	6	
talento	27.578808	NOUN	7	
techo	26.984213	NOUN	5	
tenerife	21.437909	NOUN	8	
teorías	23.848781	NOUN	7	
teresa	27.153169	NOUN	6	
tesoro	21.993515	NOUN	6	
testigo	24.596086	NOUN	7	
testigos	25.184183	NOUN	8	
tienda	26.230410	NOUN	6	
tigre	26.474096	NOUN	5	
tiro	26.928978	NOUN	4	
tomo	23.075482	NOUN	4	
toneladas	26.675544	NOUN	9	
tony	21.398920	NOUN	4	
toros	24.157450	NOUN	5	
tragedia	26.542328	NOUN	8	
tramo	22.302184	NOUN	5	
trigo	22.942267	NOUN	5	
tumba	24.797533	NOUN	5	
turno	25.869754	NOUN	5	
ubicación	22.555618	NOUN	9	
ucrania	24.228932	NOUN	7	
urgencia	23.000752	NOUN	8	
usos	23.309421	NOUN	4	
usuario	27.097933	NOUN	7	
utilidad	23.348411	NOUN	8	
venganza	23.536862	NOUN	8	
ventanas	23.351660	NOUN	8	
vergüenza	23.380903	NOUN	9	
versos	23.738310	NOUN	6	
vientos	24.141205	NOUN	7	
virus	22.519877	NOUN	5	
vitoria	25.219923	NOUN	7	
vuelos	21.922033	NOUN	6	
vídeo	23.280179	NOUN	5	
with	25.642313	NOUN	4	
águila	21.977269	NOUN	6	
álbumes	22.461393	NOUN	7	
álvarez	25.447364	NOUN	7	
ética	26.669045	NOUN	5	
